CrimeDate,CrimeTime,CrimeCode,Location,Description,Inside/Outside,Weapon,Post,District,Neighborhood,Longitude,Latitude,Location 1,Premise,vri_name1,Total Incidents
04/24/2018,12:30:00,2A,3800 OLD YORK RD,RAPE,O,OTHER,515.0,NORTHERN,WAVERLY,-76.607589034101,39.335741046639,,STREET,,1
04/23/2018,01:00:00,2A,3100 WESTMONT CT,RAPE,,OTHER,813.0,SOUTHWEST,ROSEMONT,-76.669149265768,39.301762027569,,,,1
04/17/2018,21:00:00,2A,4300 10TH ST,RAPE,I,OTHER,913.0,SOUTHERN,BROOKLYN,-76.599854688394,39.226370795103996,,SCHOOL,,1
04/16/2018,13:00:00,2A,300 E MADISON ST,RAPE,,OTHER,124.0,CENTRAL,PEN-FALLSWAY,-76.611505051887,39.29883153577,,,,1
04/15/2018,01:00:00,2A,2300 AIKEN ST,RAPE,O,OTHER,312.0,EASTERN,EAST BALTIMORE MIDWA,-76.598374336872,39.315957052327,,YARD,Eastern 1,1
04/15/2018,12:00:00,2A,600 N LUZERNE AVE,RAPE,I,OTHER,221.0,SOUTHEAST,MCELDERRY PARK,-76.580863626164,39.297841946423,,OTHER - INSIDE,,1
04/13/2018,00:01:00,2A,1100 LUZERNE AVE,RAPE,I,OTHER,333.0,EASTERN,BIDDLE STREET,-76.581274148224,39.304163303965,,ROW/TOWNHOUSE-OCC,,1
04/12/2018,13:25:00,2A,5100 EASTERN AVE,RAPE,,OTHER,232.0,SOUTHEAST,GREEKTOWN,-76.552843758385,39.287077154885004,,,,1
04/11/2018,07:00:00,2A,5300 GWYNN OAK AVE,RAPE,I,OTHER,622.0,NORTHWEST,HOWARD PARK,-76.705747532611,39.328977276620996,,ROW/TOWNHOUSE-OCC,,1
04/08/2018,03:30:00,2B,7200 MCCLEAN BLVD,RAPE,I,OTHER,423.0,NORTHEAST,HARFORD-ECHODALE-PER,-76.567077686177,39.371535417564004,,ROW/TOWNHOUSE-OCC,,1
04/07/2018,07:00:00,2A,1500 RUSSELL ST,RAPE,O,OTHER,941.0,SOUTHERN,CARROLL - CAMDEN INDUSTRIAL AREA,-76.627596001044,39.274108078067,,BUS/AUTO,,1
04/06/2018,07:00:00,2A,400 S CAREY ST,RAPE,O,OTHER,935.0,SOUTHERN,NEW SOUTHWEST/MOUNT CLARE,-76.637903115561,39.283382922883,,STREET,,1
04/06/2018,01:21:00,2A,3700 LYNDALE AVE,RAPE,I,OTHER,432.0,NORTHEAST,BELAIR-EDISON,-76.566394530767,39.316769331894996,,ROW/TOWNHOUSE-OCC,,1
04/06/2018,04:30:00,2A,100 S MONASTERY AVE,RAPE,I,OTHER,824.0,SOUTHWEST,SAINT JOSEPHS,-76.67938332029101,39.285331081535,,ROW/TOWNHOUSE-OCC,,1
04/05/2018,19:40:00,2A,3900 DUVALL AVE,RAPE,,OTHER,624.0,NORTHWEST,WINDSOR HILLS,-76.685002535701,39.319276334033,,,,1
04/04/2018,14:19:00,2A,2400 JAMES ST,RAPE,,OTHER,831.0,SOUTHWEST,MORRELL PARK,-76.652465325718,39.267904119034,,,,1
04/01/2018,00:01:00,2A,1900 E FEDERAL ST,RAPE,,OTHER,331.0,EASTERN,BROADWAY EAST,-76.590952825616,39.308629157291,,,,1
03/31/2018,05:45:00,2A,800 BONAPARTE AVE,RAPE,O,OTHER,312.0,EASTERN,EAST BALTIMORE MIDWA,-76.602969129382,39.317170669967,,ALLEY,Eastern 1,1
03/30/2018,08:00:00,2A,600 WILDWOOD PKWY,RAPE,,OTHER,815.0,SOUTHWEST,EDMONDSON VILLAGE,-76.684103711776,39.294515101605,,,,1
03/30/2018,22:00:00,2A,2300 ARUNAH AVE,RAPE,I,OTHER,721.0,WESTERN,ROSEMONT HOMEOWNERS,-76.65369882931999,39.295522891212,,ROW/TOWNHOUSE-OCC,,1
03/29/2018,13:30:00,2A,1700 BARCLAY ST,RAPE,,OTHER,313.0,EASTERN,GREENMOUNT WEST,-76.61072553769,39.309044577304,,,,1
03/28/2018,16:30:00,2A,400 ROUNDVIEW RD,RAPE,I,OTHER,922.0,SOUTHERN,CHERRY HILL,-76.620762446446,39.250820845039,,ROW/TOWNHOUSE-OCC,,1
03/28/2018,23:30:00,2A,1900 WILHELM ST,RAPE,I,OTHER,934.0,SOUTHERN,CARROLLTON RIDGE,-76.64785132503,39.283570762106,,VACANT BUILDING,Tri-District,1
03/26/2018,11:00:00,2A,1800 N REGESTER ST,RAPE,I,OTHER,331.0,EASTERN,BROADWAY EAST,-76.59413868953,39.31103587674,,ROW/TOWNHOUSE-OCC,Eastern 1,1
03/26/2018,11:00:00,2A,1800 N REGESTER ST,RAPE,I,OTHER,331.0,EASTERN,BROADWAY EAST,-76.59413868953,39.31103587674,,ROW/TOWNHOUSE-OCC,Eastern 1,1
03/25/2018,19:00:00,2A,3500 E BALTIMORE ST,RAPE,I,OTHER,223.0,SOUTHEAST,BALTIMORE HIGHLANDS,-76.568413563958,39.292442499279,,ROW/TOWNHOUSE-OCC,,1
03/25/2018,04:50:00,2A,1300 N MOUNT ST,RAPE,I,OTHER,724.0,WESTERN,SANDTOWN-WINCHESTER,-76.644712786778,39.303804954498,,ROW/TOWNHOUSE-OCC,,1
03/23/2018,12:00:00,2A,1100 ASHBURTON ST,RAPE,I,OTHER,814.0,SOUTHWEST,WINCHESTER,-76.661678007749,39.300701051322,,OTHER/RESIDENTIAL,,1
03/19/2018,00:01:00,2A,2400 TOLLEY ST,RAPE,,OTHER,831.0,SOUTHWEST,MORRELL PARK,-76.64822061978799,39.266286645134,,,,1
03/19/2018,11:00:00,2A,2700 E BALTIMORE ST,RAPE,O,OTHER,222.0,SOUTHEAST,BALTIMORE-LINWOOD,-76.578945047041,39.292196006722,,ALLEY,,1
