CrimeDate,CrimeTime,CrimeCode,Location,Description,Inside/Outside,Weapon,Post,District,Neighborhood,Longitude,Latitude,Location 1,Premise,vri_name1,Total Incidents
08/19/2016,21:24:00,1A,0 S MONASTERY AV,HOMICIDE,Outside,FIREARM,512.0,SOUTHWEST,CHARLES VILLAGE,-76.678142384604,39.286459865375,,,,1
08/17/2016,10:53:00,1A,200 S ELLICOTT DRWY,HOMICIDE,Outside,FIREARM,835.0,SOUTHWEST,CARROLL-SOUTH HILTON,-76.659516485875,39.28494933633,,PUBLIC AREA,,1
08/17/2016,01:38:00,1A,1700 MALVERN ST,HOMICIDE,Outside,FIREARM,234.0,SOUTHEAST,MEDFORD/BROENING MAN,-76.534042284317,39.273451152214996,,ALLEY,,1
08/16/2016,23:33:00,1A,900 N MONROE ST,HOMICIDE,Outside,FIREARM,722.0,WESTERN,MIDTOWN EDMONDSON,-76.647575017168,39.298788146940005,,COMMON BUSINESS,,1
08/13/2016,12:24:00,1O,1100 WALTERS AV,HOMICIDE,Outside,OTHER,522.0,NORTHERN,GLEN OAKS,-76.597209740598,39.359000719169,,STREET,,1
08/13/2016,23:59:00,1A,1300 W LAFAYETTE AV,HOMICIDE,Outside,FIREARM,324.0,WESTERN,OLDTOWN,-76.638786493046,39.299126681415,,STREET,Central,1
08/12/2016,22:14:00,1A,2400 FREDERICK AV,HOMICIDE,Outside,FIREARM,835.0,SOUTHWEST,MILL HILL,-76.65487258059599,39.283982929755,,PARKING LOT,Tri-District,1
08/10/2016,12:28:00,1O,4500 GARDEN DR,HOMICIDE,Inside,OTHER,614.0,NORTHWEST,CENTRAL PARK HEIGHTS,-76.669001056459,39.340243207151,,DWELLING,,1
08/10/2016,00:13:00,1A,900 WHITELOCK ST,HOMICIDE,Outside,FIREARM,133.0,CENTRAL,RESERVOIR HILL,-76.632673305349,39.31450130172,,STREET,,1
08/10/2016,00:35:00,1A,2200 KLOMAN ST,HOMICIDE,Outside,FIREARM,921.0,SOUTHERN,WESTPORT,-76.631399079055,39.262887231290996,,STREET,,1
08/10/2016,19:50:00,1A,2700 ASHLAND AV,HOMICIDE,Outside,FIREARM,333.0,EASTERN,MADISON EASTEND,-76.57954004838899,39.301151869989,,STREET,Eastern 2,1
08/07/2016,05:07:00,1A,2500 E MADISON ST,HOMICIDE,Outside,FIREARM,333.0,EASTERN,MILTON-MONTFORD,-76.58229141237899,39.299979561723,,,Eastern 2,1
08/05/2016,22:57:00,1A,500 E 26TH ST,HOMICIDE,Outside,FIREARM,513.0,NORTHERN,BETTER WAVERLY,-76.609389204553,39.319103454269,,STREET,,1
08/04/2016,21:54:00,1A,1600 Mc Culloh St,HOMICIDE,Outside,FIREARM,123.0,CENTRAL,UPTON,-76.630826863943,39.304922887312,,STREET,,1
